user_id,skill_name,correct,response_time
user_001,G6_C1_ORG_CHARS,0,26.48
user_001,G6_C1_ORG_CHARS,0,20.32
user_001,G6_C1_ORG_CHARS,0,23.3
user_001,G6_C1_ORG_CHARS,1,24.61
user_001,G6_C1_ORG_CHARS,0,21.62
user_001,G6_C1_ORG_CHARS,0,20.91
user_001,G6_C1_ORG_CHARS,1,27.17
user_001,G6_C1_ORG_CHARS,0,17.69
user_001,G6_C1_ORG_CHARS,0,22.92
user_001,G6_C1_ORG_CHARS,0,22.46
user_001,G6_C1_ORG_CHARS,0,26.77
user_001,G6_C1_ORG_CHARS,0,21.03
user_001,G6_C1_ORG_DIFF,0,22.59
user_001,G6_C1_ORG_DIFF,1,27.04
user_001,G6_C1_ORG_DIFF,0,20.32
user_001,G6_C1_ORG_DIFF,0,21.01
user_001,G6_C1_ORG_DIFF,0,21.32
user_001,G6_C1_ORG_DIFF,1,26.84
user_001,G6_C1_ORG_DIFF,1,19.93
user_001,G6_C1_ORG_DIFF,0,16.67
user_001,G6_C1_ORG_DIFF,0,19.72
user_001,G6_C1_ORG_DIFF,0,25.9
user_001,G6_C1_ORG_DIFF,0,17.26
user_001,G6_C1_ORG_DIFF,1,21.54
user_001,G6_C2_MAT_STATES,0,25.7
user_001,G6_C2_MAT_STATES,1,28.32
user_001,G6_C2_MAT_STATES,1,16.38
user_001,G6_C2_MAT_STATES,1,17.62
user_001,G6_C2_MAT_STATES,1,11.18
user_001,G6_C2_MAT_STATES,1,12.4
user_001,G6_C2_MAT_STATES,1,12.24
user_001,G6_C2_MAT_STATES,0,12.06
user_001,G6_C2_MAT_STATES,1,12.38
user_001,G6_C2_MAT_STATES,1,8.57
user_001,G6_C2_MAT_STATES,1,15.45
user_001,G6_C2_MAT_STATES,1,13.69
user_001,G6_C2_MAT_PROPS,1,25.24
user_001,G6_C2_MAT_PROPS,1,17.37
user_001,G6_C2_MAT_PROPS,1,14.64
user_001,G6_C2_MAT_PROPS,1,15.19
user_001,G6_C2_MAT_PROPS,1,7.69
user_001,G6_C2_MAT_PROPS,1,15.05
user_001,G6_C2_MAT_PROPS,1,10.69
user_001,G6_C2_MAT_PROPS,1,10.83
user_001,G6_C2_MAT_PROPS,1,11.58
user_001,G6_C2_MAT_PROPS,1,14.64
user_001,G6_C2_MAT_PROPS,1,9.64
user_001,G6_C2_MAT_PROPS,1,12.73
user_001,G6_C3_WAT_STATES,0,26.51
user_001,G6_C3_WAT_STATES,1,20.37
user_001,G6_C3_WAT_STATES,1,16.12
user_001,G6_C3_WAT_STATES,1,14.74
user_001,G6_C3_WAT_STATES,1,12.92
user_001,G6_C3_WAT_STATES,1,8.73
user_001,G6_C3_WAT_STATES,1,13.96
user_001,G6_C3_WAT_STATES,1,12.43
user_001,G6_C3_WAT_STATES,1,14.38
user_001,G6_C3_WAT_STATES,1,13.25
user_001,G6_C3_WAT_STATES,1,11.22
user_001,G6_C3_WAT_STATES,1,9.51
user_001,G6_C3_WAT_IMPORT,0,27.03
user_001,G6_C3_WAT_IMPORT,0,22.95
user_001,G6_C3_WAT_IMPORT,1,21.45
user_001,G6_C3_WAT_IMPORT,0,19.75
user_001,G6_C3_WAT_IMPORT,0,23.8
user_001,G6_C3_WAT_IMPORT,0,23.24
user_001,G6_C3_WAT_IMPORT,0,23.9
user_001,G6_C3_WAT_IMPORT,0,19.4
user_001,G6_C3_WAT_IMPORT,0,27.59
user_001,G6_C3_WAT_IMPORT,0,21.22
user_001,G6_C3_WAT_IMPORT,0,18.26
user_001,G6_C3_WAT_IMPORT,0,22.64
user_001,G6_C4_ENE_SOURCES,0,22.92
user_001,G6_C4_ENE_SOURCES,0,20.13
user_001,G6_C4_ENE_SOURCES,0,20.18
user_001,G6_C4_ENE_SOURCES,0,19.72
user_001,G6_C4_ENE_SOURCES,0,22.68
user_001,G6_C4_ENE_SOURCES,0,23.78
user_001,G6_C4_ENE_SOURCES,0,21.56
user_001,G6_C4_ENE_SOURCES,1,25.54
user_001,G6_C4_ENE_SOURCES,1,17.37
user_001,G6_C4_ENE_SOURCES,1,10.45
user_001,G6_C4_ENE_SOURCES,1,10.06
user_001,G6_C4_ENE_SOURCES,1,11.53
user_001,G6_C4_ENE_FORMS,0,25.66
user_001,G6_C4_ENE_FORMS,0,21.01
user_001,G6_C4_ENE_FORMS,0,22.99
user_001,G6_C4_ENE_FORMS,1,20.42
user_001,G6_C4_ENE_FORMS,1,19.85
user_001,G6_C4_ENE_FORMS,0,11.03
user_001,G6_C4_ENE_FORMS,1,20.34
user_001,G6_C4_ENE_FORMS,1,13.33
user_001,G6_C4_ENE_FORMS,1,14.08
user_001,G6_C4_ENE_FORMS,1,15.08
user_001,G6_C4_ENE_FORMS,1,11.21
user_001,G6_C4_ENE_FORMS,1,9.98
user_001,G6_C5_LIG_SEE,0,25.36
user_001,G6_C5_LIG_SEE,1,25.21
user_001,G6_C5_LIG_SEE,1,18.62
user_001,G6_C5_LIG_SEE,1,14.4
user_001,G6_C5_LIG_SEE,1,11.96
user_001,G6_C5_LIG_SEE,1,12.44
user_001,G6_C5_LIG_SEE,1,10.28
user_001,G6_C5_LIG_SEE,1,15.75
user_001,G6_C5_LIG_SEE,1,13.05
user_001,G6_C5_LIG_SEE,1,10.55
user_001,G6_C5_LIG_SEE,1,2.12
user_001,G6_C5_LIG_SEE,1,9.61
user_001,G6_C5_LIG_RAYS,0,23.71
user_001,G6_C5_LIG_RAYS,0,19.44
user_001,G6_C5_LIG_RAYS,0,23.0
user_001,G6_C5_LIG_RAYS,1,23.31
user_001,G6_C5_LIG_RAYS,1,18.5
user_001,G6_C5_LIG_RAYS,1,13.35
user_001,G6_C5_LIG_RAYS,1,13.65
user_001,G6_C5_LIG_RAYS,1,11.1
user_001,G6_C5_LIG_RAYS,1,15.6
user_001,G6_C5_LIG_RAYS,0,15.12
user_001,G6_C5_LIG_RAYS,1,16.19
user_001,G6_C5_LIG_RAYS,1,13.09
user_001,G6_C6_SOU_PRODUCE,0,20.0
user_001,G6_C6_SOU_PRODUCE,1,25.07
user_001,G6_C6_SOU_PRODUCE,0,19.24
user_001,G6_C6_SOU_PRODUCE,0,21.31
user_001,G6_C6_SOU_PRODUCE,0,21.62
user_001,G6_C6_SOU_PRODUCE,0,21.98
user_001,G6_C6_SOU_PRODUCE,0,21.26
user_001,G6_C6_SOU_PRODUCE,0,24.8
user_001,G6_C6_SOU_PRODUCE,0,20.19
user_001,G6_C6_SOU_PRODUCE,0,26.64
user_001,G6_C6_SOU_PRODUCE,1,26.03
user_001,G6_C6_SOU_PRODUCE,0,19.07
user_001,G6_C6_SOU_DIVERSE,0,19.45
user_001,G6_C6_SOU_DIVERSE,0,24.39
user_001,G6_C6_SOU_DIVERSE,1,23.9
user_001,G6_C6_SOU_DIVERSE,1,16.54
